"","YEAR","State","CO2_emission"
"1808",1987,"Wyoming",40.2
"1809",1988,"Wyoming",41.9
"1810",1989,"Wyoming",40
"1811",1990,"Wyoming",43.3
"1812",1991,"Wyoming",42.5
"1813",1992,"Wyoming",46.3
"1814",1993,"Wyoming",44.1
"1815",1994,"Wyoming",46.3
"1816",1995,"Wyoming",43.8
"1817",1996,"Wyoming",44.7
"1818",1997,"Wyoming",44.2
"1819",1998,"Wyoming",48.8
"1820",1999,"Wyoming",46.9
"1821",2000,"Wyoming",47.8
"1822",2001,"Wyoming",47.2
"1823",2002,"Wyoming",45.3
"1824",2003,"Wyoming",46.6
"1825",2004,"Wyoming",47.2
"1826",2005,"Wyoming",46.4
"1827",2006,"Wyoming",46.2
"1828",2007,"Wyoming",46.7
"1829",2008,"Wyoming",47.2
"1830",2009,"Wyoming",44.7
"1831",2010,"Wyoming",45.7
"1832",2011,"Wyoming",44.2
"1833",2012,"Wyoming",46.3
"1834",2013,"Wyoming",49.2
"1835",2014,"Wyoming",46.2
"1836",NA,"Wyoming",NA
