DISTRICT,XBLOCK,YBLOCK
7,402901,131166
5,402761,139412
5,402413,140745
1,398185,136475
7,401601,130970
5,399306,138509
1,398185,136475
5,399281,139270
7,400573,132129
3,397900,138911
6,405873,135648
2,393998,144906
4,397376,143540
5,403800.03,139666.29
5,399215,138016
1,400936,134825
4,397422,140620
5,399690,138139
3,398430,139221
1,400638,134715
2,395708,136984
3,396119,139281
1,399078,136928
2,394913,137581
1,397834,136610
2,395066,139486
5,398832,138600
1,399084,136785
4,397912,140776
3,397162,140182
5,402309,136595
3,396190,139384
2,393787,137813
3,398058,139487
5,400594,139371
6,406438,135644
6,403953,132961
7,401502,132819
1,401479,135140
1,400234,136092
3,397539,140491
6,402424,133657
1,401014,134725
1,397329,136718
1,398423,134091
1,397497,136718
1,398419,134605
1,398508,136963
1,398098,136808
3,397233,139278
6,404691,137003
1,400232,135255
3,397162,140182
2,397115,137977
1,399996,136928
3,397564,138552
1,400233,136927
2,391723,139960
4,399852,143321
7,399521,128329
6,404370,136293
3,398158,139020
7,399213,129213
1,400232,135255
7,401854,131473
4,397576,143086
5,401640,139103
1,399489,137478
3,397162,140182
6,405964,134419
3,397921,138592
7,401863,131126
1,401135,135000
3,397655,138713
3,398010,138551
2,397002,137829
5,399887,138791
6,405127,136726
7,402670,131549
3,397497,138634
5,398944,137782
4,398781,144448
2,390546,140878
7,401839,130997
7,400183,131022
3,397920,137620
3,397431,138854
5,399823,138672
2,396217.89,138008.23
3,397116,138388
1,399856,134410
3,396537,138223
3,398015,139869
5,401051,137862
3,397162,140182
6,405355,136876
5,400251,140544
7,401004,131818
5,400761,140829
2,396661,138099
2,395814,138839
2,394195,139962
1,399272,136594
7,401015,132357
3,397655,139302
3,396525,138714
1,398358,136942
3,397655,139302
1,401147,134664
1,399351,137184
3,397228,137931
3,396721,139565
3,397881,139901
1,400043,137591
2,396217.89,138008.23
,397700.46,136611.23
3,397241,140302
3,397162,140182
2,392607,143559
2,393794,139161
2,392632,142499
3,396336,139945
3,397329,138634
2,394243,140045
1,397700.46,136611.23
6,407011,135339
7,401542,133215
3,397497,138469
3,396525,138634
4,397162,140718
4,397769,144596
4,396555,142214
3,397746,137450
2,395886,138632
3,397892,139792
5,401117,137065
1,401418,136716
4,397103,144445
3,397068,140306
7,399950,128916
3,397874,139955
2,395322,145270
3,397833,137709
5,401419,136854
3,397301,137919
5,399351,137531
7,399819,128990
6,403979,132242
1,397559,136189
6,404985,133303
5,402823,139389
4,397162,141051
5,402835,139007
3,397991,140078
3,396630.67,138520.34
6,405344,137072
2,395459,137490
2,394513.93,137293.34
1,399213,134772
1,398597,137252
3,397238,139219
3,397476,140522
4,397652,142385
1,401668,135710
7,400823,132183
4,398175,143049
7,400717,132802
5,402062,137062
4,397654,144888
2,396523,137976
1,399161,137532
3,397430,138181
2,394459,141888
5,401734,140028
5,399216,139734
2,396999,137119
1,400734,134715
1,399887,133994
3,397162,140182
6,405127,137046
2,394895,140924
4,396943,144569
2,392607,143559
3,396731,139353
3,397430,138181
2,396031,137917
2,394649,138004
1,400233,136474
2,393721,141097
1,400436,135043
3,396388,138837
3,396231,139315
3,397953,140415
3,397959,140360
2,396914,137056
1,399069,137532
6,405229,135992
2,394824,137485
3,398009,139049
2,393981,143254
2,396019,138306
7,400736,129733
7,401207,133236
4,397769,144596
3,397920,137620
3,396326,139604
1,398413,137052
6,404838,133646
5,402239,137071
7,402765,131175
7,402258,132857
2,396915.49,137186.09
6,404862,136877
4,398437,143465
1,400436,135043
5,401106,138047
2,392607,143559
1,398357,136664
2,394592,137753
2,394449,137479
3,398316,138140
5,399612,137531
2,396031,138223
4,397799,141494
6,405672,137367
7,402369,131690
6,404978,135951
2,394006,137930
1,399489,134556
1,398469,134448
2,397228,136778
7,402129,133517
1,400135,136990
3,397745,138854
5,400165.21,139939.25
3,398036,139678
3,396836,140005
3,397233,139278
3,398055,138735
3,398011,139902
1,397328,136611
2,392857,142931
5,400830,141099
5,400635,137391
4,398275,144342
7,400331,129143
1,398010,136809
4,396697,140633
4,397630,143029
6,404338,135508
5,400818,139909
7,400011,130764
2,396307,137533
3,398273,137449
6,406154,134905
5,399593,138180
1,398098,136808
5,401040,137728
3,397233,139278
3,398457,139000
7,401004,131818
4,397884,141009
2,395105,139936
3,397564,138854
5,401740,137077
4,399890,143127
3,397162,140182
2,396029,137054
4,396942,140983
7,399420,128792
1,400435,134906
7,401729,130942
5,398945,138195
6,405054,134472
4,398093,145320
5,400840,139142
1,397920,136540
3,397200,139695
5,401248,137937
4,396138,141454
6,407062,136915
7,402258,132857
4,399137,144193
4,399137,144193
7,402201,131112
6,404692,136093
5,398814,138139
4,397678,144246
4,397603,144181
4,399489,143829
4,396852,146815
3,398186,137367
6,405327,135921
3,397963,140327
5,400387,137463
5,401230,139189
1,399078,136928
1,397652,136026
2,397065,137320
6,405387,136802
6,406148,137581
1,398098,136808
1,400232,134826
5,402240,136817
4,396520,141319
2,396217.89,138008.23
3,397953,140415
6,403749,135661
3,397961,139579
2,395654,137600
1,400435,134906
6,407550,136290
4,397103,143968
3,398099,137299
3,397609,138792
1,399692,136918
3,396119,139281
2,393039,142375
6,402692,133433
3,397965,138469
7,399453,130191
7,401878,131928
6,405281,137775
6,406068,135945
4,397823,141376
1,398945,136400
3,397529,139979
1,398317,134827
6,406242,137425
3,396833,138264
1,400233,136927
5,400246,139229
3,397832,137532
5,399081,138710
3,398099,137620
6,405443,135696
7,401055,133271
5,401560,137150
6,403416,135089
1,401418,135070
1,399272,136594
3,397228,138593
6,402073,133900
3,397431,138975
3,397113,139035
7,400504,129677
1,397390,135643
1,398998,136737
1,400384,137319
5,402503,139009
5,402634,139215
1,398186,137185
2,395483,137977
2,397115,137836
5,401129,137720
5,401258,137689
6,406127,135335
7,399580,129549
6,406954,136443
5,398545,138304
7,399226,127956
7,401523,131317
1,398098,136808
1,398413,137185
5,402392,139028
2,397154,137053
5,399695,138344
1,397328,137053
4,397932,142732
3,397068,140306
6,403236,134711
6,406189,137202
5,402413,140745
4,399680,141427
2,396372,137666
3,397917,137450
3,397044,139950
1,398317,134606
1,398596,137118
3,396918,138470
1,400541,134906
6,405039,133300
3,396326,139306
1,398943,137372
7,402554,131862
7,401535,131621
1,401035,134835
3,398006,137232
7,400865,130192
4,398165,144050
3,397745,138975
3,397330,138223
5,398825,138974
3,396275,138884
1,400406,136019
6,404705,133118
1,399195,136344
1,400436,135043
1,400515,136784
3,398044,140473
2,396217,138008
4,398356,143788
3,397162,140182
1,399533,134508
3,396119,139281
4,398110,144374
1,398815,136650
4,398210,145076
3,397056,139838
1,400384,137052
3,396275,138884
3,397509,140198
2,391126,141425
3,397892,139792
4,399252,144139
2,395475,136859
2,396831.57,137702.42
5,399757,139507
2,396309,138305
4,397823,141376
5,399046,138139
6,406810,136900
3,396920,138793
3,397174,140033
2,395794,138571
2,396306,137054
5,399887,138551
3,396479,139656
3,398093,139178
2,396307,137533
7,401147,131551
1,400088,137319
2,393039,142375
6,402796,133416
7,400736,129733
1,399996,134826
6,405023,135003
5,401109,137928
4,396687,146672
1,401480,135898
4,397161,140549
6,405403,134297
3,397233,139278
3,397496,139395
5,401349,138488
3,397496,139395
2,394824,137485
6,404541,136535
1,397919,136402
1,401480,135279
1,399211,133853
3,397184,139908
3,396233,139879
3,396731,139353
5,401167,137790
3,397745,139109
1,397835,136718
3,397162,140182
5,398814,137975
1,397919,136402
3,397966,138877
3,398477,137857
3,398010,138186
5,401106,138047
2,394195,139962
3,396662,138346
2,393951,139963
2,394949,140320
1,398098,136808
2,393951,139963
2,393788,143603
5,402322,136473
5,401783,137594
3,397745,138975
4,397589,142968
2,396744,137054
3,396614,139560
2,397115,137836
7,400279,132204
3,397832,137532
3,396832,138182
1,400193,137531
3,397920,137620
3,397609,139207
4,397070,146881
3,397068,140306
6,404625,133562
4,397766,141080
6,402015,133657
3,396754,139785
4,396852,146815
3,398186,137367
5,399358,137621
1,400846,136958
6,403586,135264
3,397233,139278
2,394964.33,140772.69
3,398006,137232
2,393039,142375
5,400811,140024
4,396555,142214
3,397343,137783
1,399213.4105,137425.2761
1,399213.66,137478.75
1,398186,136255
3,398314,140449
1,398747,134091
3,398010,138551
2,396230,137427
3,397330,138792
2,395664.92,137186.89
4,398382,142807
1,398054,136884
3,396986,140220
2,394827,144016
4,397633,144615
2,394611,137662
1,400734,136149
4,397103,144366
1,399719,134605
2,397115,137836
2,393852,137466
7,400350,128897
4,397603,142843
2,396027,136464
2,396965,137769
6,407251,136207
2,394626,137194
5,402151,137291
4,397674,144115
4,397765,143212
4,397596,142587
5,399081,139033
7,402978,131688
6,405449,136631
4,396705,140274
7,400302,128572
4,396839,140664
3,397424,140141
1,400436,135043
1,399719,134605
7,402886,131330
3,398010,138551
7,401004,131818
5,400594,139371
5,401707,136326
7,400618,129361
1,397654,136665
3,396505,139751
6,405927,137644
3,397294,140084
2,395859,136983
2,396217.89,138008.23
1,399783,134508
3,397294,140084
3,397497,138634
2,396217.89,138008.23
1,400042,135469
3,396418,139305
3,397431,138854
1,398596,136399
4,397766,141080
7,399277,129297
6,404833,137318
7,399887,129241
4,400614,143263
7,402297,133448
2,396619.04,137186.12
5,401904,137607
6,405034,135149
4,398356,143984
2,396217.89,138008.23
5,399046,138139
2,393728,144466
6,403920,136354
2,396170,138470
1,397654,136801
5,400770,140681
3,397961,139579
2,394630,144151
2,397115,138058
7,401004,131818
3,397715,139661
5,402158,138824
3,397162,140182
2,393836,141788
1,400930,134891
3,398508,137407
1,397835,136718
6,406607,137290
2,395861,137976
5,401329,139677
6,404985,137785
7,401990,133295
2,395767,138059
3,397640,140477
6,404985,133303
6,405868,135884
2,396661,137923
2,396685,138058
5,401740,137077
2,396999,137119
2,396917,138058
6,403249,132115
6,401745,133587
4,397110,141553
7,400489,128759
3,398555,138675
3,397893,139390
2,397216,137538
4,398598,143275
3,397162,140182
2,397115,137709
2,395955,137916
6,404182,135422
6,406893,135693
5,399080,138386
6,406656,137060
1,400232,135255
5,400635,137391
7,401745,133378
3,397609,138792
7,401606,132657
4,399890,143127
3,397965,138140
6,404628,133308
5,402238,141232
3,397330,139035
1,398469,134448
1,400233,136927
2,397115,137709
3,396385,138935
2,393681,140287
4,397749,144343
5,401860,139150
6,405566,137941
1,400846,134967
5,404102.67,139117.85
2,396504,137376
7,400292,130214
1,400233,136927
5,400840,139142
1,399756,137184
7,402184,130991
2,394320,145405
2,394320,145405
5,399759,138303
1,401014,134725
2,396046,138387
5,402582,136976
5,401039,139147
1,398009,136943
3,397497,138792
3,397693,138634
6,402603,133930
3,397116,138634
3,397564,138713
5,401302,137158
3,397431,139108
3,397991,140078
5,401740,137077
5,403023.68,138808.25
3,397068,140306
3,397609,139207
1,398272,136943
1,400233,136400
1,399756,137184
3,397965,138469
3,397497,137857
5,400311,138005
5,400995,138511
6,404579,137347
3,398142,138140
6,401668,133729
3,397609,138792
3,397991,140078
3,396441,138884
6,404541,136535
5,401978,140078
5,400436,139847
3,397162,140182
2,395984,138616
7,399599,129362
7,400957,132755
6,404702,135409
5,403150,140802
5,398683,138016
6,402603,133930
3,397301,137919
7,399156,128511
5,399081,139033
7,399218,129419
5,402638,139982
1,399823,134352
3,397229,138854
1,398185,136610
3,397746,137450
4,398204,140638
1,399385,134294
1,400734,135441
1,400735,136855
1,398477,137319
4,396975,144168
5,401608,136474
1,400042,136856
1,398532,137185
5,401550,137312
4,396994,143981
3,397917,137450
7,400035,129903
3,398159,140047
5,399081,139270
1,399650,134411
7,400660,129046
2,392740,143573
4,398276,145267
5,399887,139269
2,393322,141920
1,400437,136541
6,405836,137503
3,396754,139785
1,397497,136718
6,404370,136293
2,395767,137820
1,398532,137185
4,399777,141173
5,401872,141994
5,401420,137226
3,396833,138511
5,398750,137708
4,397847,141258
2,396523,138059
3,397375,138140
6,405152,136032
4,399087,142997
3,397370,137709
1,399822,134883
3,396455,139555
1,399214,136542
2,397228,137798
4,397850,142918
3,396275,139402
2,394824,137485
6,402603,133930
1,400846,134967
1,399078,136928
1,398683,136542
6,403516,133455
2,396384,137579
3,398477,137531
6,402967,133465
2,394146,138598
5,399690,138139
4,397628,140648
6,404979,136505
6,406908,135370
2,396559,137255
6,404146,132873
5,399352,137782
1,401338,136696
7,400021,130605
4,397524,142664
1,397380,136406
5,399258,138079
1,400930,134551
4,398054,144342
4,397904,140846
4,396948,140884
3,397497,138469
1,399075,134190
6,402595,132803
6,405550,138194
7,401264,130300
3,396622,139376
3,397000,140445
3,397863,138792
5,401872,136822
3,397805,140555
2,396559,137255
6,403519,135791
7,401561,130620
7,401535,131621
3,397722,139551
3,397497,137857
3,397184,139908
3,396336,139945
4,399610,140102
4,397422,140620
6,405836,136773
6,404979,136590
7,399218,128170
5,398945,138590
3,397162,140182
1,398532,137185
1,398857,137320
3,398099,138551
4,398437,144181
4,399409,142466
2,394335,142159
5,402062,136814
3,397184,139908
3,398273,137916
1,398595,136801
4,397071,140817
3,397122,139623
1,399886,135899
6,406577,136220
7,400331,129143
1,400541,136259
3,396942,139389
5,401406,137357
3,398099,137620
6,405126,136202
1,399351,137531
5,399215,138080
3,398049,140379
6,406774,137203
3,397174,140033
5,400954,137154
6,406366,136099
6,404978,135951
6,404249,135233
2,396306,137054
2,391660,139038
3,397855,140120
5,401755,138659
3,397497,138792
3,397881,139901
4,398356,144936
2,394550,137528
2,396167.9,137186.59
1,397497,136718
3,396748,138470
4,398370,143056
4,400742,141663
1,401897,135367
2,395861,137783
6,406626,135413
4,397868,141140
1,401418,135377
7,401494,130997
3,397423,140440
1,398943,134157
1,398185,136475
4,399520,143789
4,397823,141376
7,400600,129206
1,397745,137126
2,392360,139782
7,401601,130970
7,401605,133271
5,400655,140014
3,397330,138223
2,396046,138387
4,398518,144667
6,405049,136086
1,400042,134561
1,398476,134716
5,400136,139077
3,397330,139035
3,397497,137413
1,400931,136105
3,397900,138911
1,401090,135279
4,400338,143162
5,402239,137071
5,400121,137998
6,403349,133446
6,402985,133998
1,398682,134716
1,397654,136665
2,392607,143559
1,400383,134987
1,397835,136718
3,397782,139614
4,397612,144311
1,398054,136733
1,398185,136475
7,401936,130715
3,396170,139140
7,399075,128696
2,395953,136921
6,404825,136802
6,405846,134296
4,397276,146648
2,393777,140439
4,397506,145828
5,402823,139389
5,402413,139912
2,394194,137566
1,400331,134906
3,397330,138792
7,401821,133325
5,401901,137250
7,401280,133168
1,400488,134987
6,404541,136535
1,398508,136963
7,400554,130271
1,399214.79,137753.75
7,401936,130715
3,397274,138140
3,396266,139088
6,406339,136004
7,401126,132886
7,399819,128990
1,398186,137106
2,394757,140866
1,398009,136194
1,398065,134426
1,398891,134661
4,397162,140763
1,398358,136942
3,397921,138345
1,397329,137320
2,395858,136859
1,398508,136963
5,401822,136243
4,396974,143383
7,400489,128759
7,402007,130658
2,396167,137054
1,400436,135043
3,397645,139929
5,400602,139955
4,398201,145597
1,399790,137319
4,398165,143788
4,397830,145320
1,399888,134117
3,396749,138916
7,400829,129589
7,398951,129162
2,396108,138387
6,406014,137351
7,401407,131005
6,405658,137644
7,401990,133295
7,400348,131219
4,398220,144374
5,401897,136243
1,400846,134967
1,398185,135525
2,392884,139893
5,402501,140690
2,394824,137485
2,395861,137857
5,401480,136535
1,398532,137052
6,406495,136227
4,398165,144181
3,396749,138793
7,401851,131339
6,404161,135527
7,402985,131495
7,401745,133271
4,400262,143344
4,398250,140872
6,402985,134087
4,397850,142918
2,395654,137600
1,398747,134091
5,403114,140513
1,398373,134292
7,399659,128340
1,400541,136105
3,398508,138577
7,400702,128971
7,402497,131749
6,405820,136128
2,395405,139798
2,393462,142718
7,402760,132416
2,393661,139257
4,397829,141495
6,403789,132579
5,400867,140741
5,402032,136546
6,406936,135770
1,400437,136259
1,400637,135960
3,397612,139543
2,394870,137339
2,396569,137433
6,405127,137046
7,402258,132857
3,397174,140033
3,396190,139384
2,393608,143603
6,406114,135259
2,395955,137916
2,392607,143559
3,397329,138305
2,396307.07,137186.46
5,401521,136902
2,393041,143842
2,395499,139592
4,397577,143785
3,397741,139968
2,393679,143911
4,397326,143751
2,397001,137426
5,402093,136772
2,394785,145487
7,399933,130937
1,398273,136801
1,398098,136539
2,396559,137255
7,401407,131005
3,397104,139097
6,402965,132500
2,396312,137622
7,402418,132495
1,398357,136664
4,400557,140787
2,396307,137533
7,399218,129419
5,399695,137774
4,397704,145832
4,398184,142799
4,397821,144524
1,401147,134664
3,397564,137457
3,398099,137620
2,395460,137710
7,402760,132416
3,396986,140220
2,396046,138387
5,402835,139007
3,398101,138793
3,398009,139049
6,401893,133657
1,400936,134825
3,398144,138469
4,400986,142561
1,399592,134459
1,398944,137478
3,397655,138573
1,400686,134825
1,401257,135070
3,397745,138854
3,397700,137368
7,400863,132294
4,397553,141435
3,396561,139643
7,403074,131528
1,399695,134938
4,398601,145300
4,398019,143373
6,405146,137429
2,395436,136738
4,399890,143127
6,406165,135560
4,399409,142466
6,404497,133058
7,400591,132715
6,404441,136006
6,404004,135088
6,405380,135039
6,405585,135081
3,397423,139469
7,399062,128985
4,397506,146008
2,396069,137976
2,395766,137665
5,402017,136474
2,395105,139936
2,392302,138973
4,397577,143785
1,401606,134825
5,400965,138212
1,399213,137372
6,405311,137212
2,392607,143559
2,395766,137555
3,397330,138469
3,397431,138975
1,399078,136928
3,398122,139889
1,400232,135255
4,398059,145116
3,397424,140255
4,396381,140104
3,396418,139305
4,400251,140544
4,397265,144405
7,400536,130403
5,399323,137975
3,396455,139555
2,395459,137490
5,401420,137226
5,402152,137048
1,399078,136928
7,400879,132468
7,399950,128916
3,396614,139560
2,392976,142632
6,402423,134032
4,397856.4,141734.24
5,402582,136976
6,405592,138052
2,394575,144313
2,394824,137485
7,399848,128205
2,395652,136537
2,395859,136983
7,401055,129789
2,395436,141357
4,398052,142071
3,398049,140379
2,396744.98,137186.27
4,398382,142807
3,397921,138712
5,401884,136926
6,404806,136726
2,396217,138008
4,396239,140124
7,400287,131139
4,397804,140992
5,402530,136674
2,392607,143559
1,399211,133853
5,400789,137372
2,392772,137709
3,398054,138140
7,400554,130271
3,397122,139623
2,392607,143559
3,396103,138964
3,397715,139661
5,399558,138752
5,401165,138586
1,399886,135436
5,401165,138586
3,397116,138634
5,400251,140497
4,398392,142453
1,400541,136543
6,402985,134087
1,400540,135274
2,391252,139327
6,402965,132500
5,401521,136902
7,402542,131003
3,397241,140302
1,398186,137001
1,398373,134292
5,400246,139229
7,402562,131142
4,397986,143279
4,397945,140954
1,400589,135069
6,405684,135633
3,396290,138791
6,405237,138096
3,396266,139088
4,397152,143201
3,397373,140476
2,393425,142311
1,398750,136855
2,396217.89,138008.23
6,405126,136202
2,395654,137600
3,397320,138058
3,396418,139305
3,397966,138877
3,398011,139902
2,396915.49,137186.09
1,399078,136928
7,401712,132801
5,400999,139413
2,392607,143559
7,401745,133378
5,401740,137077
3,396837,140214
3,397965,137857
7,400120,128696
5,402210,140221
6,404004,135088
6,405127,137046
4,397749,144278
2,397115,137977
4,396975,140852
4,398882,144115
3,396370,139140
3,396119,139281
3,397116,138388
1,398651,136899
3,397532,139201
5,402556,139092
5,402835,139007
5,401564,139340
2,394194,137472
6,405391,135837
3,396455,139555
2,396231,137666
5,400541,139301
5,399081,138710
6,404541,136535
2,397155,136497
3,398274,138545
6,403224,133661
2,395901,137526
5,401193,139648
4,397373,140476
2,395653,137406
6,406332,135883
2,397228,137640
6,405127,137046
1,400231,135453
3,396614,139560
1,399823,137081
2,397115,137836
6,407313,135570
7,400695,129114
5,399080,138057
4,397689,141711
2,396384,137579
7,401820,132855
3,397920,137620
1,398597,137252
3,397497,137413
1,398532,137185
4,396846,144135
2,394622,137482
1,400436,135043
7,399848,128205
3,398099,138387
2,396293,138007
5,401752,137390
2,397171,137408
3,398218,138732
1,398185,134605
3,396460,139128
6,406836,135296
3,396834,138674
7,402355,133380
7,401489,131854
5,401345,137390
3,396145,138932
4,396973,143146
7,401606,132657
1,400930,136927
3,396505,139751
5,402588,139863
3,397424,140348
3,396671,139479
2,397228,136778
6,401965,133728
3,397320,138058
6,404085,137618
2,394256,142040
4,398356,144667
5,400777,140572
2,395766,137665
6,404636,133452
2,395708,136984
2,392740,143573
3,398054,137708
2,396046,138387
1,399210.55,134299.54
2,395196,137993
6,405623,136980
1,400234.6609,134688.1745
2,394611,137662
5,399323,138138
2,393528,140714
7,402363,130873
7,399674,131191
6,402692,133587
3,397281,140197
4,398127,141506
6,404085,137618
1,400437,136990
3,397423,140440
2,395651,136921
3,396326,139306
1,398186,137185
1,399622,134352
5,400136,139077
6,403665,133548
2,393133,142225
6,404304,132879
3,397424,140255
3,397324,139395
2,394361,137299
3,397719,140159
6,404085,137618
1,398186,137185
3,396747,138305
6,405524,136291
5,401546,139626
4,398188,141984
1,400846,135618
3,397863,139206
7,400489,128759
6,405790,137232
6,405602,137367
5,400594,139371
6,406189,137202
1,400232,135255
4,397998,140745
7,399889,128757
6,403406,135790
7,400709,129315
7,400010,132393
6,403562,135000
5,399695,137774
6,402840,133517
1,399488,135159
1,400232,134826
5,402158,138824
2,393070,142276
3,397745,138975
7,403121,131703
3,397174,140033
1,399161,137532
1,398815,136650
5,401349,138488
1,400233,135528
1,398943,133729
5,400086,139537
3,397330,138792
2,393744,139082
1,400383,134605
5,401615,139853
4,397163,142204
7,400010,132393
4,397804,140992
5,401366,137123
3,398010,138818
6,401360,133926
6,405594,136802
1,397834,136610
5,402239,137071
7,401647,131486
5,403272,139963
6,404459,136336
5,400840,139142
4,398877,141831
2,393843,137761
5,398832,138600
1,399214.79,137753.75
3,398186,137367
5,401872,141994
2,396767,137682
2,397155.47,137185.86
2,396522,137709
1,401257,135354
6,406068,135945
5,399323,137975
4,398861,143306
5,400212,137949
2,396387,138674
2,393009,139471
2,395154,139787
7,399950,130181
7,399950,130181
2,392891,143405
3,397318,139543
3,398229,138140
5,402582,136976
3,396145,138932
7,400769,129415
2,392233,140626
6,403151,134574
1,399272,136594
3,398583,139071
6,406284,135771
4,397165,144734
7,400695,129114
5,399075,138915
2,396659,137253
4,398826,142889
7,401990,133295
6,401905,133555
3,398315,138743
6,405728,134985
3,397917,137450
1,399996,136928
6,404402,132787
6,405127,137046
7,399226,127956
1,399213,137478
1,398315,136884
3,396748,138470
2,392919,139591
2,395524,138470
6,403340,132012
2,393505,138509
2,393911,138421
2,392078,140712
4,396289,140499
4,396902,141324
1,398099,136943
5,400635,137391
6,404441,135894
1,397564,137119
5,399080,138633
2,394025,143643
4,397264,143146
2,396217.89,138008.23
4,396999,140521
2,396306,137054
4,399171,140371
1,401147,134664
3,397965,138634
1,398185,135418
4,397630,143029
7,402901,131166
7,401530,131404
2,394449,137479
3,396671,139479
4,400742,141663
7,401326,131794
2,395709,137490
3,397320,138058
4,397904,140846
1,399176,133905
1,398921,134092
4,397804,140992
3,397539,139763
5,402412,141098
1,399210.55,134299.54
3,397655,138713
7,400957,132755
6,406139,136306
3,398477,137708
5,400770,140681
7,401601,130970
5,400761,140829
4,397679,145199
4,396884,144366
7,400709,129315
2,395886,138632
1,397831,137105
3,397833,138386
1,398813,132921
2,395858,136859
7,400134,130521
5,398825,139092
2,390597,140033
6,405177,133733
5,400872,137198
2,392422,142500
2,396171,137945
7,400093,132457
7,400504,129677
4,399518,142035
2,396217.89,138008.23
2,392815,143350
1,399489,134459
4,397424,141258
2,396046,138387
4,397162,141258
4,399714,143129
1,401364,136609
1,400637,136696
5,401776,137183
5,401348,137835
3,398009,139049
2,396578,137120
4,397720,142428
7,401601,130970
5,400246,139229
3,397228,138511
2,394449,137479
2,396029.6,137186.52
6,407011,135339
4,397628,140648
4,398188,141984
4,396752,140870
2,395132,144513
3,398358,137916
4,398407,142052
3,396833,138346
1,399533,134508
1,398597,137252
4,397868,141140
4,397904,140846
7,402335,132676
3,397078.32,139896.08
3,397655,138713
1,402062,136090
6,405649,136393
1,400436,134449
1,398604,133801
2,394449,137479
3,397329,138387
1,399592,134973
4,397804,140992
2,392798,140886
3,398010,138818
7,400838,132067
3,397088,139298
1,398273,137243
4,397698,140840
3,397867,140010
7,400335,131003
2,397115,137977
1,400637,136696
2,392890,143294
4,396771,141317
3,397701,139203
3,398274,138545
5,402282,137359
1,399886,134826
3,397496,139395
3,398058,139487
1,401892,135229
1,400589,136609
1,399950,137425
4,396978,146143
5,400544,138310
2,394964.33,140772.69
1,401745,135140
3,397564,138713
6,404296,133162
6,404541,136535
5,401560,137150
2,392732,137703
4,396518,142278
1,398054,136884
5,399381,139890
4,398347,145206
3,397564,138975
3,397564,139119
6,406252,137047
3,396612,138495
1,398591,134557
5,401167,137790
7,401055,133271
5,401480,136535
3,397921,138058
7,402670,131549
5,399886,138468
1,398477,137319
1,398099,136943
3,397313,139653
1,398099,136943
1,397700,136611
3,397655,138713
7,400251,128889
4,397694,142781
1,400734,134556
5,400480,138730
1,398098,136808
4,397904,140846
2,394304,137663
5,401480,136535
3,397228,138674
2,396964,137650
2,396108,138387
1,399996,137531
1,400233,137456
5,398683,138348
1,401013,135606
3,397920,137620
1,400435,134906
1,397831,137105
1,397831,137105
2,395892,136464
7,401028,129297
7,401021,132119
7,401174,130512
5,401590,136811
3,397965,138214
3,398443,138664
2,394449,137479
3,397330,138223
7,400489,128759
6,405602,135224
5,399489,137576
4,397529,140644
2,395859,136983
5,401698,136547
4,398793,140371
4,397565,143191
1,398477,137319
3,397430,138181
7,399755,129917
1,398065,134426
3,397833,138551
6,405337,136403
6,405745,137367
4,397736,140668
3,397564,138975
2,396480,137054
1,398098,137070
5,401881,138607
1,401369,135503
6,404459,136336
1,399210.55,134299.54
7,400312,132107
6,406836,135296
5,400720,140920
4,397904,140846
3,397004,138511
4,397986,143279
2,396310,138470
4,398054,144410
4,396218,141378
5,403053,140739
3,398588,138491
4,399714,143129
2,396382,136992
5,402807,139472
7,400588,129470
2,395594,139617
4,396418,140251
4,400731,143011
2,394449,137479
4,397664,145007
6,405735,136180
2,395105,139936
5,401248,137937
5,401262,138170
2,393133,142225
1,400088,136474
1,399272,136594
4,397842,143155
5,402007,137094
6,406683,137294
3,397532,139201
3,397863,138792
6,403682,132460
7,400709,129315
1,400437,136259
1,398477,137319
1,400232,135255
3,397904,139683
5,402674,140800
2,394924,144772
6,405964,134419
1,397835,136718
4,397528,144562
7,399819,128990
2,395188,140277
1,399272,136594
3,396930,140374
3,397655,137916
5,401652,137333
2,397171,137408
1,398477,137319
7,401280,133168
7,399950,129192
3,397969,140269
5,400912,139401
7,401606,132657
4,398636,142339
5,402188,137529
1,398413,137185
4,396962,140798
4,398437,143648
7,401395,130895
2,395861,137976
5,400594,139371
3,397116,138634
3,398154,139534
5,400594,139371
7,400998,130393
1,399058,137651
5,401558,140677
2,393194,142322
5,400753,139434
3,397162,140182
2,396231,137578
5,399214.79,137753.75
1,398008,136402
3,397162,140182
2,395670,138552
3,397618,138305
2,395459,137490
4,397912,140776
1,397654,136665
7,401089,129507
6,404459,136336
1,400589,135773
4,397293,141435
2,396072,137710
7,399283,129409
1,399078,136928
1,399756,137184
1,398508,136963
2,396171,137945
3,397700,137368
4,398620,142758
2,397001,137426
7,402493,131260
4,397102,142498
1,399589,137184
7,401521,130688
3,397817,140446
1,400233,135648
4,398275,144342
6,405591,134984
5,402981,139659
5,399695,137774
3,397564,137620
2,391030,139888
5,399869,139746
4,398730,142381
6,403036,132038
1,398597,137252
7,403074,131528
1,398477,137319
7,401803,130825
2,394449,137479
1,397430,136664
2,394146,138598
6,402984,134431
3,397228,138593
3,397236,139162
3,397654,137620
1,397497,136718
3,396324,139443
3,397539,140491
2,396046,138387
4,398193,142564
6,405325,138211
6,401705,133657
4,397603,144181
1,398809,134827
2,393113,142180
3,396518,139335
3,398508,138577
4,399160,143007
