DISTRICT,XBLOCK,YBLOCK
7,399688,130021
2,396917,138058
6,405084,135772
2,395681,135613
2,397155.47,137185.86
7,400279,132204
7,400279,132204
4,399409,142466
2,392174,138388
6,404459,136336
4,396999,140521
5,398751,138690
5,399695,137774
5,401489,137806
7,399218,129419
7,400240,130832
2,397095,137532
5,401590,136811
2,394665,145286
1,401135,135527
2,394826,145392
2,394826,145392
1,400088,136784
1,398469,134448
4,397323,140703
1,398469,134448
2,395956,138385
6,405075,133571
7,400709,129315
2,396031,138223
6,402985,133798
4,397633,144615
5,400643,138931
7,399848,128205
3,397228,138674
5,400731,140074
6,405745,137503
2,396310,138552
4,399215,143365
5,402240,137433
4,397577,143785
7,401104,130427
1,400489,135587
6,404167,135943
2,393240,140990
3,397700,137709
2,394274,137434
2,392516,139671
3,396370,139140
3,397476,140522
4,397422,140620
5,400840,139142
7,400591,132715
3,396275,138884
3,397829,137265
3,398328,138650
3,398009,139049
3,397830,140337
5,400331,140225
1,398508,136963
6,401291,133262
4,398566,142236
6,404038,135714
4,399890,143127
4,397726,142346
6,401605,133515
2,395597,137710
4,400504,141274
7,399411,129158
5,399627,138792
6,405964,134419
7,399695,130571
1,398508,136963
2,394784,137339
4,397564,140561
3,398316,138140
1,399078,136928
2,394146,140412
4,397868,141140
3,398099,138672
2,394548,137621
4,398852,144017
2,394432,140127
3,397424,140348
3,397294,140084
6,403053,133035
1,402061,135138
1,397329,136718
1,398508,136963
3,397281,140197
6,405640,135455
4,399564,141731
7,401489,131854
5,401852,140950
4,398006,142356
7,401903,131415
1,398822,133854
2,395459,137490
7,399380,129543
2,395650,136789
5,400933,137360
5,403837,139480
6,405167,134538
3,398009,139049
5,402530,136674
2,395858,137094
6,404579,137347
5,399489,137576
1,399950,136696
3,397529,139979
5,401618,137619
1,400233,137319
7,400914,132646
1,400233,136018
6,401207,133236
2,395955,137820
3,397424,139320
7,402071,131148
1,401859,136018
1,400846,134967
5,400331,140004
