Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Trade
Latvia,3,13,3,25,12,4,9,51,44,11,15,27,9,5,5,1,40,Import
Lebanon,4,,,,,1,,5,1,52,64,1,31,24,6,50,31,Import
Lesotho,,6,,,1,,1,,,,,,,,,,,Import
Liberia,8,,,,,,,,,,,,,,,,,Import
Libya,,,,,,1,16,16,16,31,29,8,73,120,17,44,9,Import
Lithuania,6,16,12,1,47,9,52,4,27,27,8,1,1,73,3,21,20,Import
Luxembourg,,,,1,,,,,,7,7,,1,,,,,Import
Macedonia,14,112,,,,,0,,,,,,,1,,,,Import
Madagascar,,,,,,,,,,0,,,,0,,,,Import
Malawi,,,,,,,,,3,,,,1,2,2,2,1,Import
Malaysia,26,26,154,147,65,59,408,526,508,1512,421,5,47,71,73,117,273,Import
Maldives,,,,,,,15,,,,5,,,5,,,5,Import
Mali,7,,1,,,13,,8,3,10,,,9,6,,,15,Import
Malta,0,0,,,,18,,,,,,8,8,,12,,6,Import
Mauritania,31,,27,7,,,,,,,9,5,11,10,7,,34,Import
Mauritius,,,,,6,,,,,,,,,,28,,26,Import
Mexico,227,152,97,31,320,33,75,,22,59,112,229,259,63,98,392,388,Import
Mongolia,,,,,,,,,14,,27,3,79,,,74,,Import
Morocco,125,11,156,12,14,101,47,27,46,39,306,1403,836,76,560,46,254,Import
Mozambique,0,,,1,,,,,,,,0,0,9,12,0,,Import
Myanmar,16,149,157,95,194,160,175,138,93,52,68,667,398,251,101,245,261,Import
Namibia,,21,11,,16,,72,6,66,15,,1,57,9,2,,,Import
Nepal,,11,9,9,34,6,,,1,,,3,,,5,14,,Import
Netherlands,123,184,244,125,127,102,320,240,157,296,193,149,376,332,11,64,117,Import
New Zealand,,45,17,107,49,10,5,81,2,48,58,28,30,26,79,86,3,Import
Nicaragua,,,,,,,,14,,14,,,,,13,15,86,Import
Niger,,,,5,,,,,8,1,0,,,13,3,9,,Import
Nigeria,36,9,6,62,11,,15,52,19,65,188,68,7,35,225,183,74,Import
North Korea,18,28,9,8,8,5,15,5,5,4,1,,,,,,,Import
Norway,229,99,90,14,6,14,542,567,624,588,159,614,149,62,21,143,140,Import
Oman,118,33,40,36,41,173,301,16,75,93,30,21,120,490,736,123,393,Import
Pakistan,186,423,565,652,479,445,363,694,1071,1200,2182,1088,1052,1162,797,723,759,Import
Palestine,,,,,,,,2,,14,6,,,,,,,Import
Panama,,,1,,,,,,,7,,,15,30,,,,Import
Papua New Guinea,,,,,,,,,,,,,,,3,,,Import
Paraguay,,6,,,4,1,,,,,3,8,7,0,,,,Import
Peru,24,5,16,22,47,368,193,172,,43,46,63,10,49,153,248,136,Import
Philippines,,10,5,10,34,12,23,16,10,1,3,63,16,78,12,153,230,Import
Poland,148,36,255,349,225,112,463,990,596,169,158,87,230,152,253,164,170,Import
Portugal,2,19,,29,70,158,220,60,144,369,892,168,40,13,3,1,19,Import
Qatar,14,11,11,11,,,,27,,286,30,198,319,73,55,518,901,Import
Romania,21,19,16,17,285,437,61,98,78,56,105,80,21,20,0,22,183,Import
Russia,,,,,,,4,100,,8,22,11,103,141,202,118,169,Import
Rwanda,14,,,,,,2,15,8,11,,,5,15,14,27,,Import
Saudi Arabia,85,61,567,167,1170,167,205,229,391,824,1083,1222,1025,1607,2731,3347,2979,Import
Senegal,,,,,,15,9,18,6,4,4,20,,6,7,15,49,Import
Serbia,1,27,,,,,,,,,16,,0,,,,14,Import
Seychelles,,,,,,15,,,,,,8,,7,16,,,Import
Sierra Leone,,,,,,,9,,,,,2,0,1,,,,Import
Singapore,798,255,236,87,380,542,73,358,1116,1485,1018,940,839,791,666,147,173,Import
Slovakia,0,,27,,,4,,0,,9,9,,2,6,,,,Import
Slovenia,2,41,2,17,17,3,3,2,,6,40,28,,,1,,,Import
Somalia,,,,,,,,,,,,,,3,,1,2,Import
South Africa,6,18,,,,267,785,954,493,134,180,212,132,2,50,2,,Import
South Korea,1396,773,528,752,1059,805,1651,1755,1683,796,1282,1574,1077,184,717,275,1333,Import
South Sudan,,,,,,,,37,44,1,,61,2,9,35,18,8,Import
Spain,334,168,289,253,315,363,315,339,349,235,290,181,238,176,127,164,97,Import
Sri Lanka,297,161,45,35,49,58,97,89,71,,5,21,,20,5,,,Import
